Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SAO PEDRO DAS MISSOES,0,9,1,1,0,0,3,1,1,0
SAO PEDRO DO BUTIA,0,12,0,0,0,0,2,0,0,0
SAO PEDRO DO SUL,0,279,2,13,0,0,26,14,6,6
SAO SEBASTIAO DO CAI,1,260,13,39,1,5,61,7,111,31
SAO SEPE,0,336,14,34,1,1,31,11,17,28
SAO VALENTIM,0,11,0,2,0,0,2,0,2,1
SAO VALENTIM DO SUL,0,15,0,2,0,0,0,1,0,0
SAO VALERIO DO SUL,0,9,0,0,0,0,1,1,0,0
SAO VENDELINO,0,13,0,3,0,1,5,0,1,2
SAO VICENTE DO SUL,2,108,3,0,0,2,4,4,4,2
SAPIRANGA,6,759,107,258,1,39,141,35,137,64
SAPUCAIA DO SUL,26,1505,274,1164,2,165,271,58,193,164
SARANDI,4,139,12,29,0,2,27,13,11,16
SEBERI,2,82,4,5,0,0,20,13,6,7
SEDE NOVA,0,9,0,0,0,1,1,1,0,0
SEGREDO,1,63,5,1,0,0,3,6,1,1
SELBACH,0,34,2,4,0,1,4,0,1,0
SENADOR SALGADO FILHO,0,10,2,1,0,1,2,1,0,0
SENTINELA DO SUL,2,53,1,14,0,3,2,3,0,0
SERAFINA CORREA,2,125,4,11,0,0,36,4,21,2
SERIO,0,12,0,0,0,0,2,1,2,0
